nb_calls,priority,reason,year,month,day,weekday,hour
3,2,PS,2010,1,2,Saturday,18
5,0,NW,2010,1,2,Saturday,19
31,0,PS,2010,1,2,Saturday,19
8,0,TT,2010,1,2,Saturday,19
11,1,PS,2010,1,2,Saturday,19
1,1,TT,2010,1,2,Saturday,19
1,2,PE,2010,1,2,Saturday,19
12,2,PS,2010,1,2,Saturday,19
3,2,TT,2010,1,2,Saturday,19
3,0,NW,2010,1,2,Saturday,20
28,0,PS,2010,1,2,Saturday,20
1,1,PE,2010,1,2,Saturday,20
5,1,PS,2010,1,2,Saturday,20
4,2,PS,2010,1,2,Saturday,20
5,0,NW,2010,1,2,Saturday,21
28,0,PS,2010,1,2,Saturday,21
4,1,PS,2010,1,2,Saturday,21
1,1,TT,2010,1,2,Saturday,21
7,2,PS,2010,1,2,Saturday,21
1,0,NW,2010,1,2,Saturday,22
26,0,PS,2010,1,2,Saturday,22
2,1,PS,2010,1,2,Saturday,22
1,2,PS,2010,1,2,Saturday,22
3,0,NW,2010,1,2,Saturday,23
18,0,PS,2010,1,2,Saturday,23
11,1,PS,2010,1,2,Saturday,23
11,2,PS,2010,1,2,Saturday,23
1,0,NE,2010,1,3,Sunday,0
16,0,NW,2010,1,3,Sunday,0
81,0,PS,2010,1,3,Sunday,0
12,1,PS,2010,1,3,Sunday,0
1,1,TT,2010,1,3,Sunday,0
2,2,NE,2010,1,3,Sunday,0
2,2,PE,2010,1,3,Sunday,0
25,2,PS,2010,1,3,Sunday,0
3,2,TT,2010,1,3,Sunday,0
3,0,PS,2010,1,3,Sunday,1
1,0,PS,2010,1,3,Sunday,4
3,0,PS,2010,1,3,Sunday,5
6,0,PS,2010,1,3,Sunday,6
2,0,NW,2010,1,3,Sunday,7
1,0,PE,2010,1,3,Sunday,7
17,0,PS,2010,1,3,Sunday,7
20,1,PS,2010,1,3,Sunday,7
1,2,PE,2010,1,3,Sunday,7
30,2,PS,2010,1,3,Sunday,7
3,0,IN,2010,1,3,Sunday,8
3,0,NE,2010,1,3,Sunday,8
46,0,NW,2010,1,3,Sunday,8
53,0,PS,2010,1,3,Sunday,8
1,1,NW,2010,1,3,Sunday,8
11,1,PS,2010,1,3,Sunday,8
3,1,TT,2010,1,3,Sunday,8
19,2,PS,2010,1,3,Sunday,8
1,2,TT,2010,1,3,Sunday,8
2,0,IN,2010,1,3,Sunday,9
9,0,NE,2010,1,3,Sunday,9
16,0,NW,2010,1,3,Sunday,9
1,0,PE,2010,1,3,Sunday,9
88,0,PS,2010,1,3,Sunday,9
2,1,PS,2010,1,3,Sunday,9
1,1,TT,2010,1,3,Sunday,9
1,2,PE,2010,1,3,Sunday,9
10,2,PS,2010,1,3,Sunday,9
5,0,IN,2010,1,3,Sunday,10
11,0,NE,2010,1,3,Sunday,10
13,0,NW,2010,1,3,Sunday,10
1,0,PE,2010,1,3,Sunday,10
45,0,PS,2010,1,3,Sunday,10
1,0,TT,2010,1,3,Sunday,10
2,1,NE,2010,1,3,Sunday,10
27,1,PS,2010,1,3,Sunday,10
6,2,NE,2010,1,3,Sunday,10
60,2,PS,2010,1,3,Sunday,10
1,0,IN,2010,1,3,Sunday,11
10,0,NE,2010,1,3,Sunday,11
10,0,NW,2010,1,3,Sunday,11
49,0,PS,2010,1,3,Sunday,11
29,1,PS,2010,1,3,Sunday,11
1,1,TT,2010,1,3,Sunday,11
6,2,NE,2010,1,3,Sunday,11
30,2,PS,2010,1,3,Sunday,11
6,0,NE,2010,1,3,Sunday,13
12,0,NW,2010,1,3,Sunday,13
66,0,PS,2010,1,3,Sunday,13
21,1,PS,2010,1,3,Sunday,13
2,1,TT,2010,1,3,Sunday,13
3,2,NE,2010,1,3,Sunday,13
28,2,PS,2010,1,3,Sunday,13
1,2,TT,2010,1,3,Sunday,13
3,0,NE,2010,1,3,Sunday,14
9,0,NW,2010,1,3,Sunday,14
1,0,PE,2010,1,3,Sunday,14
65,0,PS,2010,1,3,Sunday,14
29,1,PS,2010,1,3,Sunday,14
5,1,TT,2010,1,3,Sunday,14
5,2,NE,2010,1,3,Sunday,14
1,2,PE,2010,1,3,Sunday,14
31,2,PS,2010,1,3,Sunday,14
1,2,TT,2010,1,3,Sunday,14
1,0,IN,2010,1,3,Sunday,15
1,0,NE,2010,1,3,Sunday,15
28,0,NW,2010,1,3,Sunday,15
46,0,PS,2010,1,3,Sunday,15
17,1,PS,2010,1,3,Sunday,15
11,2,NE,2010,1,3,Sunday,15
61,2,PS,2010,1,3,Sunday,15
1,0,IN,2010,1,3,Sunday,16
1,0,NE,2010,1,3,Sunday,16
154,0,NW,2010,1,3,Sunday,16
1,0,PE,2010,1,3,Sunday,16
19,0,PS,2010,1,3,Sunday,16
10,0,TT,2010,1,3,Sunday,16
1,1,NE,2010,1,3,Sunday,16
23,1,PS,2010,1,3,Sunday,16
3,2,NE,2010,1,3,Sunday,16
1,2,PE,2010,1,3,Sunday,16
42,2,PS,2010,1,3,Sunday,16
1,2,TT,2010,1,3,Sunday,16
93,0,NW,2010,1,3,Sunday,17
22,0,PS,2010,1,3,Sunday,17
11,0,TT,2010,1,3,Sunday,17
29,1,PS,2010,1,3,Sunday,17
1,1,TT,2010,1,3,Sunday,17
1,2,NE,2010,1,3,Sunday,17
26,2,PS,2010,1,3,Sunday,17
4,2,TT,2010,1,3,Sunday,17
1,0,IN,2010,1,3,Sunday,18
23,0,NW,2010,1,3,Sunday,18
40,0,PS,2010,1,3,Sunday,18
7,1,PS,2010,1,3,Sunday,18
17,2,PS,2010,1,3,Sunday,18
1,2,TT,2010,1,3,Sunday,18
7,0,NW,2010,1,3,Sunday,19
1,0,PE,2010,1,3,Sunday,19
54,0,PS,2010,1,3,Sunday,19
7,1,PS,2010,1,3,Sunday,19
1,2,NE,2010,1,3,Sunday,19
8,2,PS,2010,1,3,Sunday,19
3,0,NW,2010,1,3,Sunday,20
1,0,PE,2010,1,3,Sunday,20
58,0,PS,2010,1,3,Sunday,20
4,1,PS,2010,1,3,Sunday,20
1,1,TT,2010,1,3,Sunday,20
8,2,PS,2010,1,3,Sunday,20
2,0,IN,2010,1,3,Sunday,21
4,0,NW,2010,1,3,Sunday,21
1,0,PE,2010,1,3,Sunday,21
45,0,PS,2010,1,3,Sunday,21
4,1,PS,2010,1,3,Sunday,21
9,2,PS,2010,1,3,Sunday,21
7,0,NW,2010,1,3,Sunday,22
37,0,PS,2010,1,3,Sunday,22
2,1,PS,2010,1,3,Sunday,22
2,2,PS,2010,1,3,Sunday,22
1,0,NE,2010,1,3,Sunday,23
4,0,NW,2010,1,3,Sunday,23
26,0,PS,2010,1,3,Sunday,23
11,1,PS,2010,1,3,Sunday,23
1,1,TT,2010,1,3,Sunday,23
10,2,PS,2010,1,3,Sunday,23
1,2,TT,2010,1,3,Sunday,23
5,0,NE,2010,1,4,Monday,0
9,0,NW,2010,1,4,Monday,0
2,0,PE,2010,1,4,Monday,0
70,0,PS,2010,1,4,Monday,0
13,1,PS,2010,1,4,Monday,0
1,2,NE,2010,1,4,Monday,0
1,2,PE,2010,1,4,Monday,0
24,2,PS,2010,1,4,Monday,0
1,0,PS,2010,1,4,Monday,2
2,0,PS,2010,1,4,Monday,5
6,0,PS,2010,1,4,Monday,6
1,2,TT,2010,1,4,Monday,6
5,0,NW,2010,1,4,Monday,7
35,0,PS,2010,1,4,Monday,7
5,1,PS,2010,1,4,Monday,7
2,1,TT,2010,1,4,Monday,7
7,2,PS,2010,1,4,Monday,7
2,0,IN,2010,1,4,Monday,8
2,0,NE,2010,1,4,Monday,8
53,0,NW,2010,1,4,Monday,8
58,0,PS,2010,1,4,Monday,8
1,0,TT,2010,1,4,Monday,8
9,1,PS,2010,1,4,Monday,8
1,2,NE,2010,1,4,Monday,8
9,2,PS,2010,1,4,Monday,8
5,0,IN,2010,1,4,Monday,9
7,0,NE,2010,1,4,Monday,9
17,0,NW,2010,1,4,Monday,9
2,0,PE,2010,1,4,Monday,9
52,0,PS,2010,1,4,Monday,9
3,1,NE,2010,1,4,Monday,9
11,1,PS,2010,1,4,Monday,9
4,2,NE,2010,1,4,Monday,9
13,2,PS,2010,1,4,Monday,9
2,0,IN,2010,1,4,Monday,10
7,0,NE,2010,1,4,Monday,10
10,0,NW,2010,1,4,Monday,10
46,0,PS,2010,1,4,Monday,10
1,0,TT,2010,1,4,Monday,10
2,1,NE,2010,1,4,Monday,10
21,1,PS,2010,1,4,Monday,10
1,1,TT,2010,1,4,Monday,10
7,2,NE,2010,1,4,Monday,10
66,2,PS,2010,1,4,Monday,10
1,2,TT,2010,1,4,Monday,10
3,0,IN,2010,1,4,Monday,11
9,0,NE,2010,1,4,Monday,11
15,0,NW,2010,1,4,Monday,11
2,0,PE,2010,1,4,Monday,11
79,0,PS,2010,1,4,Monday,11
11,1,PS,2010,1,4,Monday,11
3,2,NE,2010,1,4,Monday,11
25,2,PS,2010,1,4,Monday,11
1,2,TT,2010,1,4,Monday,11
3,0,IN,2010,1,4,Monday,13
8,0,NE,2010,1,4,Monday,13
11,0,NW,2010,1,4,Monday,13
6,0,PS,2010,1,4,Monday,13
3,0,TT,2010,1,4,Monday,13
4,1,NE,2010,1,4,Monday,13
1,1,NW,2010,1,4,Monday,13
12,1,PS,2010,1,4,Monday,13
2,1,TT,2010,1,4,Monday,13
8,2,NE,2010,1,4,Monday,13
11,2,PS,2010,1,4,Monday,13
1,2,TT,2010,1,4,Monday,13
5,0,NE,2010,1,4,Monday,14
22,0,NW,2010,1,4,Monday,14
1,0,PE,2010,1,4,Monday,14
25,0,PS,2010,1,4,Monday,14
4,0,TT,2010,1,4,Monday,14
4,1,NE,2010,1,4,Monday,14
1,1,PE,2010,1,4,Monday,14
46,1,PS,2010,1,4,Monday,14
5,1,TT,2010,1,4,Monday,14
5,2,NE,2010,1,4,Monday,14
77,2,PS,2010,1,4,Monday,14
4,2,TT,2010,1,4,Monday,14
2,0,NE,2010,1,4,Monday,15
13,0,NW,2010,1,4,Monday,15
9,0,PS,2010,1,4,Monday,15
2,0,TT,2010,1,4,Monday,15
3,1,NE,2010,1,4,Monday,15
2,1,PE,2010,1,4,Monday,15
34,1,PS,2010,1,4,Monday,15
2,1,TT,2010,1,4,Monday,15
5,2,NE,2010,1,4,Monday,15
71,2,PS,2010,1,4,Monday,15
1,2,TT,2010,1,4,Monday,15
17,0,NW,2010,1,4,Monday,16
3,0,PS,2010,1,4,Monday,16
3,1,NE,2010,1,4,Monday,16
15,1,PS,2010,1,4,Monday,16
2,1,TT,2010,1,4,Monday,16
4,2,NE,2010,1,4,Monday,16
55,2,PS,2010,1,4,Monday,16
9,2,TT,2010,1,4,Monday,16
9,0,NW,2010,1,4,Monday,17
1,0,PE,2010,1,4,Monday,17
29,0,PS,2010,1,4,Monday,17
2,0,TT,2010,1,4,Monday,17
30,1,PS,2010,1,4,Monday,17
5,1,TT,2010,1,4,Monday,17
3,2,NE,2010,1,4,Monday,17
40,2,PS,2010,1,4,Monday,17
7,2,TT,2010,1,4,Monday,17
1,0,IN,2010,1,4,Monday,18
1,0,NE,2010,1,4,Monday,18
15,0,NW,2010,1,4,Monday,18
24,0,PS,2010,1,4,Monday,18
1,0,TT,2010,1,4,Monday,18
23,1,PS,2010,1,4,Monday,18
6,1,TT,2010,1,4,Monday,18
1,2,NE,2010,1,4,Monday,18
17,2,PS,2010,1,4,Monday,18
6,2,TT,2010,1,4,Monday,18
1,0,IN,2010,1,4,Monday,19
3,0,NE,2010,1,4,Monday,19
8,0,NW,2010,1,4,Monday,19
1,0,PE,2010,1,4,Monday,19
16,0,PS,2010,1,4,Monday,19
2,0,TT,2010,1,4,Monday,19
14,1,PS,2010,1,4,Monday,19
4,1,TT,2010,1,4,Monday,19
3,2,NE,2010,1,4,Monday,19
1,2,PE,2010,1,4,Monday,19
28,2,PS,2010,1,4,Monday,19
1,2,TT,2010,1,4,Monday,19
1,0,IN,2010,1,4,Monday,20
10,0,NW,2010,1,4,Monday,20
35,0,PS,2010,1,4,Monday,20
1,0,TT,2010,1,4,Monday,20
9,1,PS,2010,1,4,Monday,20
1,1,TT,2010,1,4,Monday,20
15,2,PS,2010,1,4,Monday,20
1,2,TT,2010,1,4,Monday,20
6,0,NW,2010,1,4,Monday,21
35,0,PS,2010,1,4,Monday,21
1,1,NE,2010,1,4,Monday,21
13,1,PS,2010,1,4,Monday,21
1,1,TT,2010,1,4,Monday,21
1,2,NE,2010,1,4,Monday,21
17,2,PS,2010,1,4,Monday,21
1,0,NW,2010,1,4,Monday,22
25,0,PS,2010,1,4,Monday,22
1,1,PE,2010,1,4,Monday,22
13,1,PS,2010,1,4,Monday,22
19,2,PS,2010,1,4,Monday,22
1,2,TT,2010,1,4,Monday,22
1,0,IN,2010,1,4,Monday,23
2,0,NE,2010,1,4,Monday,23
3,0,NW,2010,1,4,Monday,23
20,0,PS,2010,1,4,Monday,23
13,1,PS,2010,1,4,Monday,23
2,1,TT,2010,1,4,Monday,23
1,2,NE,2010,1,4,Monday,23
10,2,PS,2010,1,4,Monday,23
1,2,TT,2010,1,4,Monday,23
6,0,NE,2010,1,5,Tuesday,0
13,0,NW,2010,1,5,Tuesday,0
34,0,PS,2010,1,5,Tuesday,0
1,1,NE,2010,1,5,Tuesday,0
13,1,PS,2010,1,5,Tuesday,0
2,1,TT,2010,1,5,Tuesday,0
3,2,NE,2010,1,5,Tuesday,0
31,2,PS,2010,1,5,Tuesday,0
2,0,NW,2010,1,5,Tuesday,1
1,0,PS,2010,1,5,Tuesday,3
1,0,NW,2010,1,5,Tuesday,5
1,0,TT,2010,1,5,Tuesday,6
1,2,TT,2010,1,5,Tuesday,6
2,0,IN,2010,1,5,Tuesday,7
1,0,NE,2010,1,5,Tuesday,7
1,0,NW,2010,1,5,Tuesday,7
22,0,PS,2010,1,5,Tuesday,7
1,0,TT,2010,1,5,Tuesday,7
1,1,PS,2010,1,5,Tuesday,7
2,2,PS,2010,1,5,Tuesday,7
1,0,IN,2010,1,5,Tuesday,8
2,0,NE,2010,1,5,Tuesday,8
56,0,NW,2010,1,5,Tuesday,8
41,0,PS,2010,1,5,Tuesday,8
9,1,PS,2010,1,5,Tuesday,8
18,2,PS,2010,1,5,Tuesday,8
1,2,TT,2010,1,5,Tuesday,8
1,0,IN,2010,1,5,Tuesday,9
8,0,NE,2010,1,5,Tuesday,9
8,0,NW,2010,1,5,Tuesday,9
1,0,PE,2010,1,5,Tuesday,9
38,0,PS,2010,1,5,Tuesday,9
1,1,NE,2010,1,5,Tuesday,9
17,1,PS,2010,1,5,Tuesday,9
1,1,TT,2010,1,5,Tuesday,9
2,2,NE,2010,1,5,Tuesday,9
35,2,PS,2010,1,5,Tuesday,9
1,2,TT,2010,1,5,Tuesday,9
5,0,IN,2010,1,5,Tuesday,10
5,0,NE,2010,1,5,Tuesday,10
6,0,NW,2010,1,5,Tuesday,10
39,0,PS,2010,1,5,Tuesday,10
1,0,TT,2010,1,5,Tuesday,10
17,1,PS,2010,1,5,Tuesday,10
1,1,TT,2010,1,5,Tuesday,10
6,2,NE,2010,1,5,Tuesday,10
1,2,PE,2010,1,5,Tuesday,10
38,2,PS,2010,1,5,Tuesday,10
2,2,TT,2010,1,5,Tuesday,10
3,0,NE,2010,1,5,Tuesday,11
10,0,NW,2010,1,5,Tuesday,11
73,0,PS,2010,1,5,Tuesday,11
1,1,NE,2010,1,5,Tuesday,11
12,1,PS,2010,1,5,Tuesday,11
5,2,NE,2010,1,5,Tuesday,11
20,2,PS,2010,1,5,Tuesday,11
2,2,TT,2010,1,5,Tuesday,11
6,0,NE,2010,1,5,Tuesday,13
10,0,NW,2010,1,5,Tuesday,13
46,0,PS,2010,1,5,Tuesday,13
1,1,NW,2010,1,5,Tuesday,13
19,1,PS,2010,1,5,Tuesday,13
1,1,TT,2010,1,5,Tuesday,13
2,2,NE,2010,1,5,Tuesday,13
21,2,PS,2010,1,5,Tuesday,13
3,2,TT,2010,1,5,Tuesday,13
2,0,NE,2010,1,5,Tuesday,14
10,0,NW,2010,1,5,Tuesday,14
29,0,PS,2010,1,5,Tuesday,14
23,1,PS,2010,1,5,Tuesday,14
3,1,TT,2010,1,5,Tuesday,14
1,2,NE,2010,1,5,Tuesday,14
1,2,PE,2010,1,5,Tuesday,14
50,2,PS,2010,1,5,Tuesday,14
2,2,TT,2010,1,5,Tuesday,14
1,0,IN,2010,1,5,Tuesday,15
5,0,NE,2010,1,5,Tuesday,15
23,0,NW,2010,1,5,Tuesday,15
1,0,PE,2010,1,5,Tuesday,15
31,0,PS,2010,1,5,Tuesday,15
3,1,NE,2010,1,5,Tuesday,15
17,1,PS,2010,1,5,Tuesday,15
2,1,TT,2010,1,5,Tuesday,15
4,2,NE,2010,1,5,Tuesday,15
43,2,PS,2010,1,5,Tuesday,15
2,2,TT,2010,1,5,Tuesday,15
98,0,NW,2010,1,5,Tuesday,16
26,0,PS,2010,1,5,Tuesday,16
1,0,TT,2010,1,5,Tuesday,16
10,1,PS,2010,1,5,Tuesday,16
1,1,TT,2010,1,5,Tuesday,16
2,2,NE,2010,1,5,Tuesday,16
22,2,PS,2010,1,5,Tuesday,16
1,0,IN,2010,1,5,Tuesday,17
2,0,NE,2010,1,5,Tuesday,17
46,0,NW,2010,1,5,Tuesday,17
41,0,PS,2010,1,5,Tuesday,17
3,1,PS,2010,1,5,Tuesday,17
17,2,PS,2010,1,5,Tuesday,17
4,0,IN,2010,1,5,Tuesday,18
2,0,NE,2010,1,5,Tuesday,18
18,0,NW,2010,1,5,Tuesday,18
49,0,PS,2010,1,5,Tuesday,18
1,0,TT,2010,1,5,Tuesday,18
1,1,NE,2010,1,5,Tuesday,18
5,1,PS,2010,1,5,Tuesday,18
2,2,NE,2010,1,5,Tuesday,18
11,2,PS,2010,1,5,Tuesday,18
1,0,IN,2010,1,5,Tuesday,19
1,0,NE,2010,1,5,Tuesday,19
6,0,NW,2010,1,5,Tuesday,19
43,0,PS,2010,1,5,Tuesday,19
3,1,PS,2010,1,5,Tuesday,19
8,2,PS,2010,1,5,Tuesday,19
1,0,IN,2010,1,5,Tuesday,20
4,0,NE,2010,1,5,Tuesday,20
7,0,NW,2010,1,5,Tuesday,20
46,0,PS,2010,1,5,Tuesday,20
1,2,NE,2010,1,5,Tuesday,20
3,2,PS,2010,1,5,Tuesday,20
1,0,NE,2010,1,5,Tuesday,21
9,0,NW,2010,1,5,Tuesday,21
33,0,PS,2010,1,5,Tuesday,21
2,1,PS,2010,1,5,Tuesday,21
1,2,NE,2010,1,5,Tuesday,21
2,2,PS,2010,1,5,Tuesday,21
1,0,NE,2010,1,5,Tuesday,22
10,0,NW,2010,1,5,Tuesday,22
40,0,PS,2010,1,5,Tuesday,22
1,0,TT,2010,1,5,Tuesday,22
8,1,PS,2010,1,5,Tuesday,22
1,1,TT,2010,1,5,Tuesday,22
1,2,NE,2010,1,5,Tuesday,22
6,2,PS,2010,1,5,Tuesday,22
2,0,NW,2010,1,5,Tuesday,23
28,0,PS,2010,1,5,Tuesday,23
2,1,PS,2010,1,5,Tuesday,23
2,2,NE,2010,1,5,Tuesday,23
3,2,PS,2010,1,5,Tuesday,23
2,0,IN,2010,1,6,Wednesday,0
6,0,NE,2010,1,6,Wednesday,0
11,0,NW,2010,1,6,Wednesday,0
64,0,PS,2010,1,6,Wednesday,0
6,1,PS,2010,1,6,Wednesday,0
1,1,TT,2010,1,6,Wednesday,0
11,2,PS,2010,1,6,Wednesday,0
1,0,PS,2010,1,6,Wednesday,1
1,0,PS,2010,1,6,Wednesday,2
1,0,PS,2010,1,6,Wednesday,5
3,0,PS,2010,1,6,Wednesday,6
4,0,NW,2010,1,6,Wednesday,7
20,0,PS,2010,1,6,Wednesday,7
3,1,PS,2010,1,6,Wednesday,7
4,2,PS,2010,1,6,Wednesday,7
1,0,NE,2010,1,6,Wednesday,8
43,0,NW,2010,1,6,Wednesday,8
40,0,PS,2010,1,6,Wednesday,8
6,1,PS,2010,1,6,Wednesday,8
7,2,PS,2010,1,6,Wednesday,8
4,0,NE,2010,1,6,Wednesday,9
5,0,NW,2010,1,6,Wednesday,9
1,0,PE,2010,1,6,Wednesday,9
42,0,PS,2010,1,6,Wednesday,9
16,1,PS,2010,1,6,Wednesday,9
1,1,TT,2010,1,6,Wednesday,9
5,2,NE,2010,1,6,Wednesday,9
27,2,PS,2010,1,6,Wednesday,9
1,0,IN,2010,1,6,Wednesday,10
4,0,NE,2010,1,6,Wednesday,10
13,0,NW,2010,1,6,Wednesday,10
48,0,PS,2010,1,6,Wednesday,10
2,1,NE,2010,1,6,Wednesday,10
1,1,PE,2010,1,6,Wednesday,10
14,1,PS,2010,1,6,Wednesday,10
1,1,TT,2010,1,6,Wednesday,10
8,2,NE,2010,1,6,Wednesday,10
36,2,PS,2010,1,6,Wednesday,10
2,0,IN,2010,1,6,Wednesday,11
6,0,NE,2010,1,6,Wednesday,11
12,0,NW,2010,1,6,Wednesday,11
35,0,PS,2010,1,6,Wednesday,11
8,1,PS,2010,1,6,Wednesday,11
1,1,TT,2010,1,6,Wednesday,11
1,2,NE,2010,1,6,Wednesday,11
29,2,PS,2010,1,6,Wednesday,11
1,2,TT,2010,1,6,Wednesday,11
2,0,IN,2010,1,6,Wednesday,13
3,0,NE,2010,1,6,Wednesday,13
11,0,NW,2010,1,6,Wednesday,13
1,0,PE,2010,1,6,Wednesday,13
63,0,PS,2010,1,6,Wednesday,13
8,1,PS,2010,1,6,Wednesday,13
3,2,NE,2010,1,6,Wednesday,13
13,2,PS,2010,1,6,Wednesday,13
1,0,IN,2010,1,6,Wednesday,14
5,0,NE,2010,1,6,Wednesday,14
8,0,NW,2010,1,6,Wednesday,14
1,0,PE,2010,1,6,Wednesday,14
70,0,PS,2010,1,6,Wednesday,14
2,1,PE,2010,1,6,Wednesday,14
6,1,PS,2010,1,6,Wednesday,14
3,2,NE,2010,1,6,Wednesday,14
16,2,PS,2010,1,6,Wednesday,14
1,0,NE,2010,1,6,Wednesday,15
16,0,NW,2010,1,6,Wednesday,15
30,0,PS,2010,1,6,Wednesday,15
10,1,PS,2010,1,6,Wednesday,15
2,1,TT,2010,1,6,Wednesday,15
2,2,NE,2010,1,6,Wednesday,15
48,2,PS,2010,1,6,Wednesday,15
1,0,NE,2010,1,6,Wednesday,16
10,0,NW,2010,1,6,Wednesday,16
2,0,PE,2010,1,6,Wednesday,16
50,0,PS,2010,1,6,Wednesday,16
2,1,PE,2010,1,6,Wednesday,16
3,1,PS,2010,1,6,Wednesday,16
1,2,NE,2010,1,6,Wednesday,16
1,2,PE,2010,1,6,Wednesday,16
17,2,PS,2010,1,6,Wednesday,16
1,2,TT,2010,1,6,Wednesday,16
1,0,NE,2010,1,6,Wednesday,17
7,0,NW,2010,1,6,Wednesday,17
20,0,PS,2010,1,6,Wednesday,17
10,1,PS,2010,1,6,Wednesday,17
4,2,NE,2010,1,6,Wednesday,17
38,2,PS,2010,1,6,Wednesday,17
1,2,TT,2010,1,6,Wednesday,17
1,0,IN,2010,1,6,Wednesday,18
2,0,NE,2010,1,6,Wednesday,18
9,0,NW,2010,1,6,Wednesday,18
38,0,PS,2010,1,6,Wednesday,18
1,1,PS,2010,1,6,Wednesday,18
1,2,NE,2010,1,6,Wednesday,18
10,2,PS,2010,1,6,Wednesday,18
11,0,NW,2010,1,6,Wednesday,19
29,0,PS,2010,1,6,Wednesday,19
11,1,PS,2010,1,6,Wednesday,19
1,1,TT,2010,1,6,Wednesday,19
2,2,NE,2010,1,6,Wednesday,19
23,2,PS,2010,1,6,Wednesday,19
1,2,TT,2010,1,6,Wednesday,19
1,0,IN,2010,1,6,Wednesday,20
4,0,NW,2010,1,6,Wednesday,20
1,0,PE,2010,1,6,Wednesday,20
33,0,PS,2010,1,6,Wednesday,20
7,1,PS,2010,1,6,Wednesday,20
1,1,TT,2010,1,6,Wednesday,20
1,2,NE,2010,1,6,Wednesday,20
15,2,PS,2010,1,6,Wednesday,20
1,2,TT,2010,1,6,Wednesday,20
2,0,NE,2010,1,6,Wednesday,21
9,0,NW,2010,1,6,Wednesday,21
1,0,PE,2010,1,6,Wednesday,21
15,0,PS,2010,1,6,Wednesday,21
3,1,PE,2010,1,6,Wednesday,21
6,1,PS,2010,1,6,Wednesday,21
2,2,NE,2010,1,6,Wednesday,21
13,2,PS,2010,1,6,Wednesday,21
1,0,IN,2010,1,6,Wednesday,22
2,0,NE,2010,1,6,Wednesday,22
7,0,NW,2010,1,6,Wednesday,22
11,0,PS,2010,1,6,Wednesday,22
14,1,PS,2010,1,6,Wednesday,22
2,1,TT,2010,1,6,Wednesday,22
2,2,NE,2010,1,6,Wednesday,22
20,2,PS,2010,1,6,Wednesday,22
2,0,NW,2010,1,6,Wednesday,23
